Attack_500_filtered_NoAnonymBodies_NoPT_NoPTeval_SW100-25
28/07/2021 10:23:16
Time,Epoch,dev
28/07/2021 10:26:47,1,11.538
28/07/2021 10:30:22,2,17.308
28/07/2021 10:33:56,3,19.231
28/07/2021 10:37:28,4,21.154
28/07/2021 10:41:00,5,23.077
28/07/2021 10:44:32,6,19.231
28/07/2021 10:48:02,7,19.231
28/07/2021 10:51:32,8,19.231
28/07/2021 10:55:02,9,17.308
28/07/2021 10:58:32,10,23.077
28/07/2021 11:03:00,11,19.231
28/07/2021 11:06:29,12,21.154
28/07/2021 11:09:56,13,23.077
28/07/2021 11:13:24,14,17.308
28/07/2021 11:16:50,15,23.077
28/07/2021 11:20:18,16,17.308
28/07/2021 11:23:44,17,17.308
28/07/2021 11:27:11,18,19.231
Attack_500_filtered_NoAnonymBodies_NoPT_NoPTeval_SW75-20
28/07/2021 11:32:13
Time,Epoch,dev
28/07/2021 11:36:04,1,17.308
28/07/2021 11:40:01,2,17.308
28/07/2021 11:43:58,3,15.385
28/07/2021 11:47:58,4,15.385
28/07/2021 11:51:52,5,13.462
28/07/2021 11:55:45,6,17.308
28/07/2021 12:00:35,7,13.462
28/07/2021 12:04:31,8,13.462
28/07/2021 12:08:25,9,17.308
28/07/2021 12:12:18,10,17.308
28/07/2021 12:16:09,11,11.538
28/07/2021 12:20:00,12,13.462
28/07/2021 12:23:51,13,11.538
28/07/2021 12:27:41,14,13.462
Attack_50_eval_NoAnonymBodies_NoPT_NoPTeval_SW100-25
29/07/2021 09:39:11
Time,Epoch,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
29/07/2021 09:40:09,1,82.000,12.000,12.000,56.000,24.000,26.000,12.000,12.000
29/07/2021 09:41:53,2,92.000,20.000,16.000,66.000,30.000,40.000,16.000,14.000
29/07/2021 09:42:51,3,98.000,22.000,18.000,68.000,34.000,38.000,14.000,16.000
29/07/2021 09:43:48,4,98.000,22.000,16.000,68.000,38.000,32.000,16.000,18.000
29/07/2021 09:44:44,5,98.000,20.000,18.000,70.000,38.000,36.000,14.000,14.000
29/07/2021 09:45:39,6,100.000,22.000,18.000,72.000,38.000,38.000,14.000,14.000
29/07/2021 09:46:35,7,100.000,22.000,18.000,72.000,40.000,38.000,14.000,14.000
29/07/2021 09:47:31,8,100.000,20.000,20.000,72.000,38.000,38.000,14.000,14.000
29/07/2021 09:48:27,9,100.000,30.000,16.000,72.000,40.000,40.000,14.000,16.000
Attack_50_eval_AnonymBodies_NoPT_NoPTeval_SW100-25
29/07/2021 09:51:18
Time,Epoch,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
29/07/2021 09:52:48,1,82.000,20.000,18.000,62.000,30.000,38.000,16.000,10.000
29/07/2021 09:54:23,2,90.000,34.000,30.000,74.000,44.000,54.000,22.000,12.000
29/07/2021 09:55:58,3,94.000,36.000,30.000,74.000,46.000,56.000,26.000,12.000
29/07/2021 09:57:32,4,96.000,46.000,42.000,74.000,48.000,60.000,26.000,8.000
29/07/2021 09:59:05,5,94.000,50.000,38.000,76.000,50.000,64.000,28.000,10.000
29/07/2021 10:00:38,6,98.000,46.000,40.000,78.000,56.000,68.000,24.000,12.000
29/07/2021 10:02:11,7,100.000,48.000,34.000,78.000,56.000,68.000,26.000,8.000
29/07/2021 10:03:43,8,100.000,48.000,42.000,80.000,60.000,66.000,26.000,10.000
29/07/2021 10:07:44,9,96.000,36.000,32.000,74.000,56.000,60.000,26.000,8.000
29/07/2021 10:09:19,10,98.000,54.000,42.000,78.000,56.000,72.000,20.000,14.000
29/07/2021 10:10:52,11,100.000,48.000,40.000,74.000,54.000,64.000,26.000,10.000
29/07/2021 10:12:24,12,100.000,56.000,38.000,82.000,62.000,68.000,24.000,8.000
Attack_50_eval_NoAnonymBodies_NoPT_NoPTeval_SW100-25
29/07/2021 10:20:38
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
29/07/2021 10:21:30,1,20.000,82.000,16.000,14.000,60.000,28.000,32.000,10.000,12.000
29/07/2021 10:22:28,2,13.333,94.000,24.000,14.000,68.000,32.000,36.000,12.000,12.000
29/07/2021 10:23:25,3,20.000,98.000,22.000,12.000,72.000,32.000,32.000,16.000,12.000
29/07/2021 10:24:21,4,13.333,98.000,20.000,16.000,66.000,32.000,34.000,18.000,10.000
29/07/2021 10:25:16,5,13.333,100.000,24.000,12.000,70.000,32.000,40.000,20.000,14.000
29/07/2021 10:26:11,6,20.000,100.000,24.000,16.000,62.000,30.000,36.000,16.000,10.000
29/07/2021 10:27:07,7,20.000,100.000,24.000,18.000,64.000,30.000,36.000,16.000,10.000
29/07/2021 10:28:02,8,20.000,100.000,24.000,16.000,64.000,30.000,36.000,18.000,10.000
29/07/2021 10:28:57,9,20.000,100.000,24.000,16.000,64.000,30.000,36.000,18.000,12.000
29/07/2021 10:29:53,10,13.333,100.000,24.000,16.000,64.000,30.000,36.000,18.000,12.000
29/07/2021 10:30:48,11,13.333,100.000,26.000,16.000,64.000,30.000,36.000,18.000,12.000
29/07/2021 10:31:44,12,13.333,100.000,28.000,16.000,66.000,30.000,38.000,18.000,12.000
29/07/2021 10:32:39,13,20.000,98.000,12.000,12.000,54.000,26.000,32.000,18.000,10.000
29/07/2021 10:33:35,14,13.333,100.000,18.000,12.000,62.000,26.000,32.000,10.000,16.000
29/07/2021 10:34:30,15,13.333,100.000,18.000,12.000,60.000,30.000,34.000,18.000,12.000
29/07/2021 10:35:26,16,13.333,98.000,18.000,10.000,60.000,30.000,34.000,16.000,12.000
29/07/2021 10:36:21,17,13.333,98.000,20.000,10.000,60.000,30.000,34.000,16.000,12.000
29/07/2021 10:37:17,18,13.333,98.000,20.000,12.000,60.000,30.000,34.000,16.000,12.000
29/07/2021 10:38:13,19,13.333,98.000,18.000,12.000,60.000,30.000,34.000,16.000,12.000
29/07/2021 10:39:08,20,13.333,98.000,16.000,12.000,60.000,30.000,34.000,16.000,12.000
Attack_50_eval_AnonymBodies_NoPT_NoPTeval_SW100-25
29/07/2021 10:43:26
Time,Epoch,dev,originalabstract,nertext3,nertext4,nertext7,presidio,spacy,word2vec_gen,manual_annotated
29/07/2021 10:45:03,1,20.000,78.000,24.000,20.000,66.000,38.000,34.000,18.000,12.000
29/07/2021 10:46:55,2,26.667,92.000,32.000,28.000,70.000,42.000,48.000,20.000,14.000
29/07/2021 10:48:44,3,40.000,96.000,40.000,40.000,78.000,46.000,60.000,24.000,10.000
29/07/2021 10:50:17,4,33.333,96.000,42.000,40.000,76.000,44.000,60.000,26.000,10.000
29/07/2021 10:51:50,5,33.333,100.000,46.000,44.000,80.000,56.000,68.000,26.000,14.000
29/07/2021 10:53:22,6,40.000,100.000,38.000,36.000,78.000,52.000,64.000,22.000,12.000
29/07/2021 10:54:55,7,46.667,100.000,44.000,42.000,80.000,50.000,70.000,20.000,14.000
29/07/2021 10:56:27,8,40.000,100.000,48.000,44.000,76.000,54.000,66.000,24.000,10.000
29/07/2021 10:57:59,9,46.667,100.000,44.000,44.000,78.000,54.000,68.000,22.000,14.000
29/07/2021 10:59:31,10,46.667,100.000,44.000,44.000,78.000,56.000,70.000,22.000,14.000
29/07/2021 11:01:03,11,40.000,100.000,44.000,44.000,76.000,56.000,68.000,22.000,14.000
29/07/2021 11:02:35,12,40.000,100.000,40.000,46.000,78.000,56.000,70.000,20.000,14.000
29/07/2021 11:04:08,13,40.000,100.000,42.000,44.000,78.000,56.000,68.000,22.000,14.000
29/07/2021 11:05:40,14,40.000,100.000,42.000,46.000,76.000,56.000,68.000,22.000,14.000
29/07/2021 11:07:12,15,40.000,100.000,42.000,48.000,76.000,56.000,68.000,20.000,14.000
29/07/2021 11:08:45,16,40.000,100.000,42.000,46.000,76.000,56.000,68.000,20.000,14.000
29/07/2021 11:10:18,17,40.000,100.000,40.000,48.000,76.000,56.000,68.000,20.000,14.000
